"Tabela 2094 - População residente por cor ou raça e religião"
"Variável - População residente (Pessoas)"
"Município";"Religião";"Ano x Cor ou raça"
"Município";"Religião";"2010"
"Município";"Religião";"Branca";"Preta";"Parda"
"1700400";"Total";"1117";"1077";"5207"
"1700707";"Total";"2513";"422";"5307"
"1701002";"Total";"2291";"1010";"6183"
"1701051";"Total";"650";"295";"2203"
"1701101";"Total";"806";"467";"2910"
"1701309";"Total";"1172";"743";"3679"
"1701903";"Total";"1215";"641";"4434"
"1702000";"Total";"3208";"726";"4785"
"1702109";"Total";"40662";"12629";"93634"
"1702158";"Total";"967";"505";"3334"
"1702208";"Total";"5869";"2800";"21827"
"1702307";"Total";"1619";"400";"4670"
"1702406";"Total";"1030";"2451";"7089"
"1702554";"Total";"3477";"1068";"11240"
"1702703";"Total";"555";"336";"2487"
"1702901";"Total";"2041";"922";"6208"
"1703008";"Total";"2235";"609";"7483"
"1703057";"Total";"778";"291";"1930"
"1703073";"Total";"877";"175";"3038"
"1703107";"Total";"1532";"167";"3637"
"1703206";"Total";"1091";"170";"2968"
"1703305";"Total";"745";"251";"2727"
"1703602";"Total";"417";"101";"1532"
"1703701";"Total";"632";"1018";"3487"
"1703800";"Total";"2076";"1146";"6281"
"1703826";"Total";"383";"120";"1601"
"1703842";"Total";"1171";"686";"6254"
"1703867";"Total";"905";"201";"2631"
"1703883";"Total";"501";"272";"1475"
"1703891";"Total";"609";"462";"2595"
"1703909";"Total";"640";"265";"3681"
"1704105";"Total";"446";"92";"2022"
"1704600";"Total";"384";"157";"759"
"1705102";"Total";"398";"411";"2463"
"1705508";"Total";"9519";"1737";"18721"
"1705557";"Total";"1264";"273";"3125"
"1705607";"Total";"525";"1055";"2486"
"1706001";"Total";"1317";"673";"2821"
"1706100";"Total";"1536";"504";"5077"
"1706258";"Total";"371";"184";"993"
"1706506";"Total";"1065";"418";"3608"
"1707009";"Total";"3647";"2360";"12894"
"1707108";"Total";"1919";"243";"4157"
"1707207";"Total";"1661";"409";"4958"
"1707306";"Total";"1021";"198";"3335"
"1707405";"Total";"989";"1115";"7223"
"1707553";"Total";"876";"203";"2588"
"1707652";"Total";"1477";"460";"3345"
"1707702";"Total";"1901";"702";"5824"
"1708205";"Total";"4332";"1222";"11445"
"1708254";"Total";"532";"144";"1705"
"1708304";"Total";"1333";"207";"3293"
"1709005";"Total";"2362";"1000";"6820"
"1709302";"Total";"5779";"1270";"15349"
"1709500";"Total";"23399";"5542";"46992"
"1709807";"Total";"207";"70";"1360"
"1710508";"Total";"1500";"469";"4022"
"1710706";"Total";"1001";"370";"4616"
"1710904";"Total";"786";"371";"2254"
"1711100";"Total";"689";"119";"1606"
"1711506";"Total";"949";"305";"2191"
"1711803";"Total";"491";"133";"1578"
"1711902";"Total";"1908";"737";"5626"
"1711951";"Total";"457";"341";"2641"
"1712009";"Total";"905";"1365";"474"
"1712157";"Total";"279";"159";"1159"
"1712405";"Total";"409";"189";"3087"
"1712454";"Total";"636";"233";"1741"
"1712504";"Total";"1211";"442";"2579"
"1712702";"Total";"275";"295";"1566"
